month,day,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
11,10,24.48461538461538,44.36923076923077,73.38461538461539,918.8153846153848,90.0,1.0769230769230769,173.15384615384616,211.07692307692307,358.46153846153845
10,6,24.22307692307692,44.5923076923077,67.61538461538461,919.4076923076924,173.15384615384616,1.8615384615384616,213.15384615384616,211.46153846153845,385.3076923076923
6,2,24.975,40.641666666666666,67.58333333333333,919.3583333333332,195.08333333333337,0.2750000000000001,548.5,128.75,536.1666666666666
3,16,25.253846153846155,44.07692307692308,73.61538461538461,919.2615384615382,101.07692307692308,1.3000000000000005,170.84615384615384,290.53846153846155,435.15384615384613
12,19,24.666666666666668,39.69166666666667,69.5,918.2666666666668,124.25,0.9833333333333332,348.8333333333333,195.33333333333337,434.0
2,23,25.284615384615385,47.00769230769232,72.46153846153847,919.7461538461538,107.84615384615384,0.5307692307692308,26.615384615384617,268.53846153846155,292.84615384615387
8,17,25.24615384615385,42.83076923076923,61.0,920.6230769230768,185.53846153846155,1.2923076923076922,204.23076923076923,245.84615384615384,381.15384615384613
10,24,24.315384615384616,43.9076923076923,70.53846153846153,920.5846153846154,99.15384615384616,1.323076923076923,292.53846153846155,155.46153846153845,414.7692307692308
7,12,25.807692307692307,40.41538461538461,57.15384615384615,920.2692307692306,171.0,0.8846153846153846,307.2307692307692,205.92307692307693,420.6923076923077
10,30,24.315384615384612,43.56923076923077,73.38461538461539,919.4307692307692,119.92307692307692,1.023076923076923,621.5384615384615,74.61538461538461,520.5384615384615
12,21,24.84166666666667,37.85,67.5,919.1833333333332,104.08333333333331,0.7083333333333335,604.3333333333334,120.83333333333331,520.6666666666666
5,6,25.15,43.46666666666667,67.91666666666667,919.7,198.0,1.6083333333333334,112.25,230.5,326.5833333333333
8,24,28.049999999999994,34.925,43.833333333333336,918.875,197.0,0.925,719.75,82.0,594.75
6,8,26.075000000000003,40.03333333333334,55.833333333333336,921.7000000000002,202.16666666666663,1.4583333333333337,178.16666666666666,263.4166666666667,340.4166666666667
5,20,25.161538461538463,41.669230769230765,64.92307692307692,919.5769230769232,204.15384615384616,1.0923076923076922,422.6923076923077,155.30769230769232,467.2307692307692
10,24,27.94615384615384,39.25384615384616,47.0,918.7692307692308,140.0,0.7615384615384614,365.61538461538464,182.53846153846155,440.38461538461536
4,24,25.63333333333334,39.458333333333336,63.75,919.6166666666668,220.83333333333337,0.6416666666666666,455.1666666666667,196.83333333333337,545.1666666666666
8,26,27.375,39.72500000000001,50.25,919.0666666666666,52.333333333333336,1.3833333333333335,367.75,204.25,499.25
