,MonthPE,Date,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
2020-02-12,2,2020-02-12,28.261538461538464,35.05384615384615,47.23076923076923,918.4846153846154,190.76923076923077,1.4461538461538461,478.53846153846155,160.53846153846155,518.6923076923077
2020-02-13,2,2020-02-13,28.5,34.669230769230765,46.23076923076923,917.6999999999999,215.6153846153846,1.4230769230769231,437.0769230769231,181.0,505.84615384615387
2020-02-14,2,2020-02-14,28.546153846153842,39.4076923076923,49.84615384615385,917.7923076923078,224.84615384615384,1.0923076923076924,354.0769230769231,221.69230769230768,480.46153846153845
2020-02-15,2,2020-02-15,28.261538461538464,40.22307692307693,52.0,918.1999999999999,208.53846153846155,0.9307692307692308,404.46153846153845,204.46153846153845,491.9230769230769
2020-02-16,2,2020-02-16,28.592307692307692,38.52307692307692,49.30769230769231,916.9461538461538,209.3846153846154,1.330769230769231,386.0,209.3846153846154,443.0
2020-02-17,2,2020-02-17,29.284615384615385,38.03846153846153,46.69230769230769,916.3307692307693,220.76923076923077,1.6538461538461542,271.0769230769231,219.23076923076923,376.9230769230769
2020-02-18,2,2020-02-18,29.584615384615386,37.04615384615384,44.30769230769231,917.1692307692308,211.30769230769232,1.6076923076923078,273.0,245.30769230769232,439.61538461538464
2020-02-19,2,2020-02-19,29.346153846153847,39.60769230769232,46.84615384615385,917.0153846153846,163.53846153846155,1.6615384615384612,188.07692307692307,201.15384615384616,333.0
2020-02-20,2,2020-02-20,28.52307692307692,43.05384615384615,51.84615384615385,917.076923076923,152.0,1.1307692307692307,267.6923076923077,214.84615384615384,418.84615384615387
2020-02-21,2,2020-02-21,27.684615384615384,43.346153846153854,54.23076923076923,918.6999999999999,141.46153846153845,0.7538461538461539,229.46153846153845,227.3846153846154,415.38461538461536
2020-02-22,2,2020-02-22,24.292307692307688,47.75384615384615,77.0,920.3692307692307,178.92307692307693,0.9384615384615385,134.53846153846155,282.38461538461536,389.15384615384613
2020-02-23,2,2020-02-23,25.284615384615385,47.00769230769232,72.46153846153847,919.7461538461538,107.84615384615384,0.5307692307692308,26.615384615384617,268.53846153846155,292.84615384615387
2020-02-24,2,2020-02-24,24.115384615384617,47.98461538461539,79.53846153846153,919.6230769230771,279.46153846153845,0.7076923076923077,192.76923076923077,271.53846153846155,431.6923076923077
2020-02-25,2,2020-02-25,24.56153846153846,48.861538461538466,78.76923076923077,919.0769230769232,182.23076923076923,0.7846153846153846,118.38461538461539,250.84615384615384,333.46153846153845
2020-02-26,2,2020-02-26,21.146153846153847,46.861538461538466,89.92307692307692,921.6000000000001,174.3846153846154,1.1538461538461537,45.76923076923077,192.15384615384616,234.0
2020-02-27,2,2020-02-27,24.376923076923074,43.723076923076924,74.3076923076923,920.6307692307693,117.61538461538461,0.9538461538461539,285.61538461538464,233.53846153846155,451.0769230769231
2020-02-28,2,2020-02-28,25.530769230769234,42.699999999999996,71.61538461538461,920.2461538461538,50.69230769230769,1.3076923076923077,217.84615384615384,260.84615384615387,423.3076923076923
2020-02-29,2,2020-02-29,26.02307692307692,40.23076923076923,66.53846153846153,920.5923076923076,209.6153846153846,0.6153846153846153,329.6923076923077,231.3846153846154,487.3076923076923
2020-03-01,3,2020-03-01,26.04615384615385,42.915384615384625,69.15384615384616,919.8461538461538,196.15384615384616,0.47692307692307695,261.0,263.2307692307692,452.84615384615387
2020-03-02,3,2020-03-02,26.199999999999996,43.0076923076923,67.76923076923077,918.9000000000001,198.76923076923077,0.6307692307692307,231.30769230769232,197.92307692307693,393.6923076923077
2020-03-03,3,2020-03-03,26.49230769230769,42.12307692307692,66.6923076923077,918.4307692307691,195.6153846153846,0.7846153846153846,133.76923076923077,264.61538461538464,335.9230769230769
2020-03-04,3,2020-03-04,26.823076923076925,39.92307692307692,64.23076923076923,918.9846153846154,169.3846153846154,0.5230769230769231,281.0,219.30769230769232,437.61538461538464
2020-03-05,3,2020-03-05,27.176923076923078,39.82307692307692,60.69230769230769,919.1538461538463,222.53846153846155,0.8384615384615385,311.38461538461536,231.6153846153846,449.38461538461536
2020-03-06,3,2020-03-06,26.71538461538461,39.25384615384615,61.76923076923077,919.4230769230769,199.15384615384616,0.6307692307692309,471.0,173.46153846153845,533.0
2020-03-07,3,2020-03-07,26.97692307692308,38.63076923076923,59.30769230769231,918.569230769231,205.23076923076923,0.6692307692307692,157.15384615384616,290.7692307692308,415.46153846153845
2020-03-08,3,2020-03-08,25.938461538461546,44.284615384615385,68.84615384615384,918.6230769230768,141.23076923076923,0.6230769230769231,281.7692307692308,211.07692307692307,455.0
2020-03-09,3,2020-03-09,26.07692307692308,45.30769230769231,71.3076923076923,919.4000000000001,148.6153846153846,0.6692307692307692,9.461538461538462,207.46153846153845,211.15384615384616
2020-03-10,3,2020-03-10,25.507692307692306,46.184615384615384,73.0,920.0384615384617,114.3076923076923,0.8769230769230771,282.0769230769231,218.30769230769232,460.38461538461536
2020-03-11,3,2020-03-11,25.923076923076923,41.876923076923084,68.3076923076923,918.253846153846,217.15384615384616,0.676923076923077,386.84615384615387,173.46153846153845,497.7692307692308
2020-03-12,3,2020-03-12,25.5,45.83076923076923,73.76923076923077,916.9692307692306,224.07692307692307,0.7769230769230769,74.07692307692308,241.84615384615384,297.0769230769231
2020-03-13,3,2020-03-13,25.553846153846152,43.715384615384615,72.46153846153847,918.7692307692307,139.76923076923077,0.9846153846153844,421.53846153846155,193.6153846153846,522.4615384615385
2020-03-14,3,2020-03-14,22.076923076923077,42.93076923076923,84.76923076923077,921.576923076923,147.15384615384616,0.9692307692307692,206.53846153846155,239.69230769230768,400.3076923076923
2020-03-15,3,2020-03-15,23.56923076923077,43.76923076923077,77.46153846153847,920.3153846153848,125.61538461538461,1.0076923076923077,143.15384615384616,272.0769230769231,366.61538461538464
2020-03-16,3,2020-03-16,25.253846153846155,44.07692307692308,73.61538461538461,919.2615384615382,101.07692307692308,1.3000000000000003,170.84615384615384,290.53846153846155,435.15384615384613
2020-03-17,3,2020-03-17,25.169230769230765,44.20769230769231,74.15384615384616,919.523076923077,101.15384615384616,1.3076923076923077,224.76923076923077,265.6923076923077,462.38461538461536
2020-03-18,3,2020-03-18,25.292307692307688,40.107692307692304,72.84615384615384,919.7384615384617,129.46153846153845,1.1846153846153846,140.30769230769232,329.46153846153845,441.38461538461536
2020-03-19,3,2020-03-19,25.738461538461536,37.57692307692308,67.61538461538461,920.0461538461539,105.15384615384616,0.7999999999999997,181.3846153846154,283.46153846153845,446.2307692307692
2020-03-20,3,2020-03-20,24.853846153846156,41.08461538461539,73.53846153846153,920.4769230769232,108.38461538461539,1.5923076923076924,88.6923076923077,217.23076923076923,298.6923076923077
2020-03-21,3,2020-03-21,24.684615384615377,36.21538461538461,71.92307692307692,920.4153846153847,102.61538461538461,1.9769230769230768,367.3076923076923,201.46153846153845,503.15384615384613
2020-03-22,3,2020-03-22,24.730769230769226,32.86923076923077,69.0,920.1461538461538,188.53846153846155,0.8769230769230769,474.3076923076923,181.0,542.2307692307693
2020-03-23,3,2020-03-23,25.349999999999998,38.25833333333333,65.5,921.6166666666667,208.91666666666666,0.6416666666666666,87.75,312.9166666666667,390.3333333333333
2020-03-24,3,2020-03-24,25.27692307692308,39.55384615384616,64.92307692307692,921.0153846153846,206.76923076923077,0.676923076923077,123.38461538461539,258.6923076923077,364.0769230769231
2020-03-25,3,2020-03-25,25.907692307692308,39.86923076923077,66.0,918.876923076923,157.30769230769232,1.076923076923077,84.53846153846153,303.2307692307692,377.6923076923077
2020-03-26,3,2020-03-26,25.78461538461539,44.07692307692308,71.0,917.7461538461539,108.0,0.8076923076923077,128.6153846153846,248.3846153846154,352.2307692307692
2020-03-27,3,2020-03-27,25.769230769230774,42.16923076923077,71.3076923076923,916.9153846153847,123.3076923076923,1.2692307692307692,256.0769230769231,253.46153846153845,464.46153846153845
2020-03-28,3,2020-03-28,25.55384615384616,40.76923076923077,71.46153846153847,916.9923076923078,97.3076923076923,0.7846153846153846,179.53846153846155,295.7692307692308,438.7692307692308
2020-03-29,3,2020-03-29,26.274999999999995,40.55,68.66666666666667,918.2083333333334,53.333333333333336,1.0166666666666668,253.58333333333334,290.0833333333333,497.6666666666667
2020-03-30,3,2020-03-30,22.253846153846155,45.861538461538466,83.84615384615384,919.5230769230768,188.69230769230768,1.4,91.15384615384616,150.07692307692307,205.76923076923077
2020-03-31,3,2020-03-31,25.683333333333334,45.224999999999994,70.75,917.6750000000001,231.41666666666666,0.44166666666666665,146.41666666666666,210.5,285.5
2020-04-01,4,2020-04-01,24.01538461538462,46.276923076923076,78.15384615384616,918.7769230769229,178.69230769230768,1.0923076923076924,209.30769230769232,243.30769230769232,388.2307692307692
2020-04-02,4,2020-04-02,22.458333333333332,43.75,83.25,921.1416666666668,202.5,2.066666666666667,99.75,243.58333333333334,331.9166666666667
2020-04-03,4,2020-04-03,26.333333333333332,41.608333333333334,62.25,919.0250000000001,210.5,1.7999999999999998,366.0833333333333,249.41666666666666,467.5833333333333
2020-04-04,4,2020-04-04,26.976923076923075,40.98461538461538,61.0,917.5153846153846,212.15384615384616,0.4153846153846154,362.61538461538464,205.15384615384616,439.15384615384613
2020-04-05,4,2020-04-05,27.13076923076923,43.20769230769231,63.23076923076923,917.7846153846154,201.69230769230768,0.6153846153846155,81.38461538461539,226.15384615384616,277.2307692307692
2020-04-06,4,2020-04-06,25.338461538461537,47.23846153846153,72.23076923076923,919.4384615384616,194.46153846153845,0.6923076923076923,255.15384615384616,193.46153846153845,351.0
2020-04-07,4,2020-04-07,24.666666666666668,48.23333333333333,78.58333333333333,921.0833333333334,150.41666666666666,1.1583333333333334,65.5,302.8333333333333,350.8333333333333
2020-04-08,4,2020-04-08,26.28461538461539,46.823076923076925,67.0,918.8384615384615,202.3846153846154,1.7923076923076926,23.23076923076923,177.6153846153846,197.23076923076923
2020-04-09,4,2020-04-09,21.575,49.216666666666676,91.33333333333333,921.25,160.5,0.9083333333333333,335.1666666666667,233.5,506.75
2020-04-10,4,2020-04-10,26.408333333333335,44.55833333333333,64.16666666666667,919.1416666666668,197.41666666666666,1.0833333333333335,127.41666666666667,258.0,340.75
2020-04-11,4,2020-04-11,26.66666666666667,44.21666666666667,62.5,919.3833333333332,164.25,0.45833333333333326,120.16666666666667,269.4166666666667,345.75
2020-04-12,4,2020-04-12,25.891666666666666,44.76666666666666,66.58333333333333,920.6916666666667,194.91666666666666,0.43333333333333335,85.91666666666667,183.0,225.91666666666666
2020-04-13,4,2020-04-13,26.599999999999998,39.825,61.083333333333336,920.7166666666667,237.58333333333334,0.6,555.3333333333334,162.41666666666666,580.0833333333334
2020-04-14,4,2020-04-14,25.974999999999998,39.65,67.33333333333333,919.9416666666666,38.75,2.1083333333333334,223.83333333333334,283.9166666666667,456.25
2020-04-15,4,2020-04-15,25.46666666666667,40.40833333333334,69.58333333333333,919.8166666666666,88.08333333333333,1.5166666666666668,102.33333333333333,333.5833333333333,413.25
2020-04-16,4,2020-04-16,24.566666666666666,40.81666666666666,73.83333333333333,921.0333333333334,232.41666666666666,1.1583333333333332,116.08333333333333,277.3333333333333,371.5
2020-04-17,4,2020-04-17,25.566666666666666,41.28333333333334,67.83333333333333,921.4166666666666,203.08333333333334,0.8250000000000001,104.0,316.75,397.25
2020-04-18,4,2020-04-18,25.59166666666667,40.416666666666664,63.75,921.0666666666667,203.75,2.5,103.66666666666667,213.0,257.6666666666667
2020-04-19,4,2020-04-19,25.72307692307692,39.43076923076923,59.38461538461539,920.8692307692307,196.23076923076923,1.6615384615384614,538.6153846153846,149.30769230769232,530.6153846153846
2020-04-20,4,2020-04-20,25.853846153846156,36.95384615384615,59.15384615384615,920.5615384615384,184.92307692307693,1.853846153846154,441.7692307692308,165.30769230769232,437.3076923076923
2020-04-21,4,2020-04-21,25.842857142857138,37.58571428571429,57.57142857142857,920.6642857142858,184.35714285714286,1.1857142857142857,404.14285714285717,173.78571428571428,457.0
2020-04-22,4,2020-04-22,25.87692307692308,40.67692307692308,57.92307692307692,920.1307692307693,180.23076923076923,0.9384615384615386,176.46153846153845,256.38461538461536,381.84615384615387
2020-04-23,4,2020-04-23,25.766666666666666,41.300000000000004,60.5,920.1916666666667,241.75,1.1416666666666666,372.9166666666667,256.8333333333333,497.8333333333333
2020-04-24,4,2020-04-24,26.566666666666666,40.65833333333334,55.5,919.5750000000002,115.75,0.8166666666666668,368.25,235.83333333333334,477.6666666666667
2020-04-25,4,2020-04-25,26.474999999999998,39.76666666666667,63.5,919.2750000000001,161.58333333333334,0.7666666666666666,483.8333333333333,197.25,550.3333333333334
2020-04-26,4,2020-04-26,26.591666666666665,33.73333333333334,56.916666666666664,920.525,135.08333333333334,0.6583333333333333,602.5,138.0,587.75
2020-04-27,4,2020-04-27,27.350000000000005,44.43333333333334,57.25,919.7833333333333,204.16666666666666,1.2416666666666665,335.0,244.41666666666666,495.3333333333333
2020-04-28,4,2020-04-28,26.850000000000005,43.13333333333333,59.166666666666664,919.8833333333332,208.83333333333334,1.2666666666666668,291.6666666666667,232.0,462.1666666666667
2020-04-29,4,2020-04-29,26.816666666666663,42.416666666666664,57.166666666666664,919.5749999999999,202.0,0.7916666666666666,437.1666666666667,180.5,507.9166666666667
2020-04-30,4,2020-04-30,27.3,43.28333333333334,59.583333333333336,919.9833333333336,201.33333333333334,0.9500000000000001,664.25,115.0,582.0833333333334
2020-05-01,5,2020-05-01,24.850000000000005,45.85833333333333,68.41666666666667,921.6666666666666,228.91666666666666,1.7666666666666666,324.5,229.66666666666666,465.75
2020-05-02,5,2020-05-02,26.233333333333334,46.46666666666667,66.33333333333333,920.4333333333334,216.08333333333334,0.8666666666666666,85.66666666666667,231.66666666666666,277.3333333333333
2020-05-03,5,2020-05-03,24.866666666666664,46.300000000000004,67.16666666666667,920.1083333333332,202.16666666666666,1.1583333333333334,85.5,273.6666666666667,335.3333333333333
